==================================================
HEADER
File name: peer_-AA0001-lyY8i2fmn47q.log
Creation Date/Time: 2026-08-08 13:10:47
Last Modified Date/Time: 2026-08-08 13:45:05
==================================================
BODY
Event Type      | Date/Time            | Description
HANDSHAKE_RECV  | 2026-08-08 13:26:29  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:26:29  | Received Bitfield from 127.0.0.1:11669
HANDSHAKE_RECV  | 2026-08-08 13:26:29  | Handshake verified from -AA0001-WL99b7svcXnQ
MSG_RECV        | 2026-08-08 13:26:29  | Received Bitfield from 127.0.0.1:11671
PING_RECV       | 2026-08-08 13:26:30  | Received PING from ('127.0.0.1', 11672)
ANNOUNCE        | 2026-08-08 13:26:35  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:26:36  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:26:37  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:26:37  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:26:37  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 11.20 ms
PING_RECV       | 2026-08-08 13:27:00  | Received PING from ('127.0.0.1', 11692)
ANNOUNCE        | 2026-08-08 13:27:05  | [Transferring_These_Files/sample3.png] Sending periodic update to tracker...
ANNOUNCE        | 2026-08-08 13:27:06  | [Transferring_These_Files] Sending periodic update to tracker...
HEARTBEAT_SYNC  | 2026-08-08 13:27:07  | Initiating periodic ping to 1 known peers
PING_SEND       | 2026-08-08 13:27:07  | [Heartbeat] Attempting to ping peer at 127.0.0.1:6882
PING_SUCCESS    | 2026-08-08 13:27:07  | [Heartbeat] Received PONG from 127.0.0.1:6882 | RTT: 18.31 ms
SHUTDOWN_INIT   | 2026-08-08 13:27:25  | Keyboard interrupt received. Deregistering from tracker.
PORT_BUSY       | 2026-08-08 13:27:36  | Port 6881 in use. Trying next...
PORT_BUSY       | 2026-08-08 13:27:36  | Port 6882 in use. Trying next...
LISTENER_START  | 2026-08-08 13:27:36  | Peer listening for direct connections on port 6883
FILE_CHECK      | 2026-08-08 13:27:37  | Determined status as SEEDER for Transferring_These_Files/sample3.png
HANDSHAKE_SEND  | 2026-08-08 13:27:37  | [Transferring_These_Files/sample3.png] Initiating handshake with 127.0.0.1:6882
